,model_name,device_name,n_ts,end_time,n_sim,simulator,precision,gpu_name,total_time,sim_time
0,pysb.examples.earm_1_0,rage,101,20000,128,cuda,fp64,TeslaV100-SXM2-32GB,225.01765823364258,223.69333958625793
1,pysb.examples.earm_1_0,rage,101,20000,256,cuda,fp64,TeslaV100-SXM2-32GB,230.7529308795929,230.54483604431152
2,pysb.examples.earm_1_0,rage,101,20000,512,cuda,fp64,TeslaV100-SXM2-32GB,223.12747287750244,222.85237741470337
3,pysb.examples.earm_1_0,rage,101,20000,1024,cuda,fp64,TeslaV100-SXM2-32GB,229.85433197021484,229.4520902633667
4,pysb.examples.earm_1_0,rage,101,20000,2048,cuda,fp64,TeslaV100-SXM2-32GB,233.92818117141724,233.27051186561584
5,pysb.examples.earm_1_0,rage,101,20000,4096,cuda,fp64,TeslaV100-SXM2-32GB,253.7107105255127,252.49425435066223
6,pysb.examples.earm_1_0,rage,101,20000,8192,cuda,fp64,TeslaV100-SXM2-32GB,298.53497219085693,296.351765871048
7,pysb.examples.earm_1_0,rage,101,20000,16384,cuda,fp64,TeslaV100-SXM2-32GB,1024.6993811130524,1020.4103465080261
8,pysb.examples.earm_1_0,rage,101,20000,32768,cuda,fp64,TeslaV100-SXM2-32GB,1850.534823179245,1842.1176855564117
9,pysb.examples.earm_1_0,rage,101,20000,65536,cuda,fp64,TeslaV100-SXM2-32GB,3569.042617559433,3552.3233523368835
