,model_name,device_name,n_ts,end_time,n_sim,simulator,precision,gpu_name,total_time,sim_time
0,pysb.examples.michment,rage,101,100,128,cuda,fp32,TeslaV100-SXM2-32GB,0.14556264877319336,0.002878904342651367
1,pysb.examples.michment,rage,101,100,256,cuda,fp32,TeslaV100-SXM2-32GB,0.1038815975189209,0.002391815185546875
2,pysb.examples.michment,rage,101,100,512,cuda,fp32,TeslaV100-SXM2-32GB,0.12064433097839355,0.002286195755004883
3,pysb.examples.michment,rage,101,100,1024,cuda,fp32,TeslaV100-SXM2-32GB,0.19473958015441895,0.002454519271850586
4,pysb.examples.michment,rage,101,100,2048,cuda,fp32,TeslaV100-SXM2-32GB,0.21764397621154785,0.0026979446411132812
5,pysb.examples.michment,rage,101,100,4096,cuda,fp32,TeslaV100-SXM2-32GB,0.34349894523620605,0.0031185150146484375
6,pysb.examples.michment,rage,101,100,8192,cuda,fp32,TeslaV100-SXM2-32GB,0.5997300148010254,0.0041925907135009766
7,pysb.examples.michment,rage,101,100,16384,cuda,fp32,TeslaV100-SXM2-32GB,1.130192518234253,0.006567239761352539
8,pysb.examples.michment,rage,101,100,32768,cuda,fp32,TeslaV100-SXM2-32GB,2.3318593502044678,0.011517524719238281
9,pysb.examples.michment,rage,101,100,65536,cuda,fp32,TeslaV100-SXM2-32GB,4.446768045425415,0.02363753318786621
