,device_name,end_time,gpu_name,model_name,n_sim,n_ts,sim_time,simulator,total_time
0,bad.mc.vanderbilt.edu,20000,TeslaV100-SXM2-16GB,pysb.examples.earm_1_0,128,101,215.14022827148438,gpu_ssa,215.42078614234924
1,bad.mc.vanderbilt.edu,20000,TeslaV100-SXM2-16GB,pysb.examples.earm_1_0,256,101,216.74876260757446,gpu_ssa,216.95026350021362
2,bad.mc.vanderbilt.edu,20000,TeslaV100-SXM2-16GB,pysb.examples.earm_1_0,512,101,205.83877110481262,gpu_ssa,206.1038303375244
3,bad.mc.vanderbilt.edu,20000,TeslaV100-SXM2-16GB,pysb.examples.earm_1_0,1024,101,204.0418403148651,gpu_ssa,204.44111227989197
4,bad.mc.vanderbilt.edu,20000,TeslaV100-SXM2-16GB,pysb.examples.earm_1_0,2048,101,209.4528946876526,gpu_ssa,210.09811568260193
5,bad.mc.vanderbilt.edu,20000,TeslaV100-SXM2-16GB,pysb.examples.earm_1_0,4096,101,207.04327011108398,gpu_ssa,208.18876457214355
6,bad.mc.vanderbilt.edu,20000,TeslaV100-SXM2-16GB,pysb.examples.earm_1_0,8192,101,236.80561542510986,gpu_ssa,238.95600843429565
7,bad.mc.vanderbilt.edu,20000,TeslaV100-SXM2-16GB,pysb.examples.earm_1_0,16384,101,375.10141682624817,gpu_ssa,379.38422441482544
8,bad.mc.vanderbilt.edu,20000,TeslaV100-SXM2-16GB,pysb.examples.earm_1_0,32768,101,870.2686808109283,gpu_ssa,878.6283156871796
9,bad.mc.vanderbilt.edu,20000,TeslaV100-SXM2-16GB,pysb.examples.earm_1_0,65536,101,1610.5793416500092,gpu_ssa,1627.1830661296844
