,device_name,end_time,gpu_name,model_name,n_sim,n_ts,sim_time,simulator,total_time
0,bad.mc.vanderbilt.edu,100,TeslaV100-SXM2-16GB,pysb.examples.michment,128,101,0.0021257400512695312,gpu_ssa,0.12886500358581543
1,bad.mc.vanderbilt.edu,100,TeslaV100-SXM2-16GB,pysb.examples.michment,256,101,0.0024356842041015625,gpu_ssa,0.13521766662597656
2,bad.mc.vanderbilt.edu,100,TeslaV100-SXM2-16GB,pysb.examples.michment,512,101,0.0025212764739990234,gpu_ssa,0.16005349159240723
3,bad.mc.vanderbilt.edu,100,TeslaV100-SXM2-16GB,pysb.examples.michment,1024,101,0.0018944740295410156,gpu_ssa,0.21312975883483887
4,bad.mc.vanderbilt.edu,100,TeslaV100-SXM2-16GB,pysb.examples.michment,2048,101,0.002165555953979492,gpu_ssa,0.33615684509277344
5,bad.mc.vanderbilt.edu,100,TeslaV100-SXM2-16GB,pysb.examples.michment,4096,101,0.002449512481689453,gpu_ssa,0.5237250328063965
6,bad.mc.vanderbilt.edu,100,TeslaV100-SXM2-16GB,pysb.examples.michment,8192,101,0.003146648406982422,gpu_ssa,0.9388473033905029
7,bad.mc.vanderbilt.edu,100,TeslaV100-SXM2-16GB,pysb.examples.michment,16384,101,0.005594491958618164,gpu_ssa,2.0749402046203613
8,bad.mc.vanderbilt.edu,100,TeslaV100-SXM2-16GB,pysb.examples.michment,32768,101,0.011085748672485352,gpu_ssa,3.5519230365753174
9,bad.mc.vanderbilt.edu,100,TeslaV100-SXM2-16GB,pysb.examples.michment,65536,101,0.02005910873413086,gpu_ssa,6.942706346511841
