,device_name,end_time,gpu_name,model_name,n_sim,n_ts,sim_time,simulator,total_time
0,diablo,100,GTX980Ti,pysb.examples.schloegl,128,101,0.33942246437072754,cl,0.5020740032196045
1,diablo,100,GTX980Ti,pysb.examples.schloegl,256,101,0.2790653705596924,cl,0.43573546409606934
2,diablo,100,GTX980Ti,pysb.examples.schloegl,512,101,1.9967737197875977,cl,2.1644420623779297
3,diablo,100,GTX980Ti,pysb.examples.schloegl,1024,101,2.440997838973999,cl,2.6480822563171387
4,diablo,100,GTX980Ti,pysb.examples.schloegl,2048,101,2.244236946105957,cl,2.5288522243499756
5,diablo,100,GTX980Ti,pysb.examples.schloegl,4096,101,2.588585138320923,cl,3.1098878383636475
6,diablo,100,GTX980Ti,pysb.examples.schloegl,8192,101,2.383326530456543,cl,3.1366238594055176
7,diablo,100,GTX980Ti,pysb.examples.schloegl,16384,101,2.9528119564056396,cl,4.362478971481323
8,diablo,100,GTX980Ti,pysb.examples.schloegl,32768,101,4.753658056259155,cl,7.4433252811431885
9,diablo,100,GTX980Ti,pysb.examples.schloegl,65536,101,6.924060344696045,cl,12.262515544891357
