,device_name,end_time,gpu_name,model_name,n_sim,n_ts,sim_time,simulator,total_time
0,diablo,100,GTX980Ti,pysb.examples.schlogl,128,101,0.3152158260345459,cl,0.6739230155944824
1,diablo,100,GTX980Ti,pysb.examples.schlogl,256,101,0.3757748603820801,cl,0.5139720439910889
2,diablo,100,GTX980Ti,pysb.examples.schlogl,512,101,0.5731830596923828,cl,0.7288951873779297
3,diablo,100,GTX980Ti,pysb.examples.schlogl,1024,101,2.03830623626709,cl,2.2680883407592773
4,diablo,100,GTX980Ti,pysb.examples.schlogl,2048,101,2.5590827465057373,cl,2.85988187789917
5,diablo,100,GTX980Ti,pysb.examples.schlogl,4096,101,2.4681715965270996,cl,2.9185354709625244
6,diablo,100,GTX980Ti,pysb.examples.schlogl,8192,101,2.811746597290039,cl,3.5313303470611572
7,diablo,100,GTX980Ti,pysb.examples.schlogl,16384,101,3.4898321628570557,cl,4.877050399780273
8,diablo,100,GTX980Ti,pysb.examples.schlogl,32768,101,5.482503414154053,cl,8.079649686813354
9,diablo,100,GTX980Ti,pysb.examples.schlogl,65536,101,7.642956256866455,cl,12.782156705856323
