,device_name,end_time,gpu_name,model_name,n_sim,n_ts,sim_time,simulator,total_time
0,diablo,20000,GTX980Ti,pysb.examples.earm_1_0,128,101,1033.526226758957,gpu_ssa,1035.6074216365814
1,diablo,20000,GTX980Ti,pysb.examples.earm_1_0,256,101,1028.9948463439941,gpu_ssa,1029.3579428195953
2,diablo,20000,GTX980Ti,pysb.examples.earm_1_0,512,101,1050.8726370334625,gpu_ssa,1051.2383589744568
3,diablo,20000,GTX980Ti,pysb.examples.earm_1_0,1024,101,1152.4087538719177,gpu_ssa,1152.8816788196564
4,diablo,20000,GTX980Ti,pysb.examples.earm_1_0,2048,101,1164.0772774219513,gpu_ssa,1164.7184228897095
5,diablo,20000,GTX980Ti,pysb.examples.earm_1_0,4096,101,1602.6776721477509,gpu_ssa,1603.6298158168793
6,diablo,20000,GTX980Ti,pysb.examples.earm_1_0,8192,101,2888.4212996959686,gpu_ssa,2890.109242916107
7,diablo,20000,GTX980Ti,pysb.examples.earm_1_0,16384,101,4969.51672744751,gpu_ssa,4973.718907594681
8,diablo,20000,GTX980Ti,pysb.examples.earm_1_0,32768,101,9925.312720775604,gpu_ssa,9937.330055475235
9,diablo,20000,GTX980Ti,pysb.examples.earm_1_0,65536,101,19529.553250074387,gpu_ssa,19552.758456468582
