,device_name,end_time,gpu_name,model_name,n_sim,n_ts,sim_time,simulator,total_time
0,diablo,100,GTX980Ti,pysb.examples.michment,128,101,0.006599903106689453,gpu_ssa,1.6492741107940674
1,diablo,100,GTX980Ti,pysb.examples.michment,256,101,0.006308317184448242,gpu_ssa,0.1768953800201416
2,diablo,100,GTX980Ti,pysb.examples.michment,512,101,0.006354331970214844,gpu_ssa,0.22084784507751465
3,diablo,100,GTX980Ti,pysb.examples.michment,1024,101,0.006601095199584961,gpu_ssa,0.2673795223236084
4,diablo,100,GTX980Ti,pysb.examples.michment,2048,101,0.00733637809753418,gpu_ssa,0.3544580936431885
5,diablo,100,GTX980Ti,pysb.examples.michment,4096,101,0.008222103118896484,gpu_ssa,0.4721050262451172
6,diablo,100,GTX980Ti,pysb.examples.michment,8192,101,0.011217117309570312,gpu_ssa,0.7605962753295898
7,diablo,100,GTX980Ti,pysb.examples.michment,16384,101,0.02093958854675293,gpu_ssa,1.279832124710083
8,diablo,100,GTX980Ti,pysb.examples.michment,32768,101,0.05489397048950195,gpu_ssa,2.3928909301757812
9,diablo,100,GTX980Ti,pysb.examples.michment,65536,101,0.08544087409973145,gpu_ssa,4.63233208656311
