,device_name,end_time,gpu_name,model_name,n_sim,n_ts,sim_time,simulator,total_time
0,ip-172-31-22-73,20000,TeslaV100-SXM2-16GB,pysb.examples.earm_1_0,128,101,304.9787497520447,cl,305.66610455513
1,ip-172-31-22-73,20000,TeslaV100-SXM2-16GB,pysb.examples.earm_1_0,256,101,378.8186819553375,cl,379.1367976665497
2,ip-172-31-22-73,20000,TeslaV100-SXM2-16GB,pysb.examples.earm_1_0,512,101,389.53982520103455,cl,390.0342254638672
3,ip-172-31-22-73,20000,TeslaV100-SXM2-16GB,pysb.examples.earm_1_0,1024,101,391.391530752182,cl,392.21848320961
4,ip-172-31-22-73,20000,TeslaV100-SXM2-16GB,pysb.examples.earm_1_0,2048,101,399.2083191871643,cl,400.74001598358154
5,ip-172-31-22-73,20000,TeslaV100-SXM2-16GB,pysb.examples.earm_1_0,4096,101,399.75518679618835,cl,402.74397015571594
6,ip-172-31-22-73,20000,TeslaV100-SXM2-16GB,pysb.examples.earm_1_0,8192,101,400.2837567329407,cl,405.9922103881836
7,ip-172-31-22-73,20000,TeslaV100-SXM2-16GB,pysb.examples.earm_1_0,16384,101,494.2743892669678,cl,505.63398337364197
8,ip-172-31-22-73,20000,TeslaV100-SXM2-16GB,pysb.examples.earm_1_0,32768,101,1005.7341384887695,cl,1028.2465372085571
9,ip-172-31-22-73,20000,TeslaV100-SXM2-16GB,pysb.examples.earm_1_0,65536,101,1933.2424280643463,cl,1979.0108168125153
