,device_name,end_time,gpu_name,model_name,n_sim,n_ts,sim_time,simulator,total_time
0,ip-172-31-22-73,100,TeslaV100-SXM2-16GB,pysb.examples.kinase_cascade,128,101,8.887137413024902,cl,9.27579641342163
1,ip-172-31-22-73,100,TeslaV100-SXM2-16GB,pysb.examples.kinase_cascade,256,101,11.412035465240479,cl,11.580733299255371
2,ip-172-31-22-73,100,TeslaV100-SXM2-16GB,pysb.examples.kinase_cascade,512,101,11.411494970321655,cl,11.64025616645813
3,ip-172-31-22-73,100,TeslaV100-SXM2-16GB,pysb.examples.kinase_cascade,1024,101,11.43893551826477,cl,11.796814918518066
4,ip-172-31-22-73,100,TeslaV100-SXM2-16GB,pysb.examples.kinase_cascade,2048,101,11.432591915130615,cl,12.053436040878296
5,ip-172-31-22-73,100,TeslaV100-SXM2-16GB,pysb.examples.kinase_cascade,4096,101,11.437313079833984,cl,12.577478885650635
6,ip-172-31-22-73,100,TeslaV100-SXM2-16GB,pysb.examples.kinase_cascade,8192,101,11.454107284545898,cl,13.664334774017334
7,ip-172-31-22-73,100,TeslaV100-SXM2-16GB,pysb.examples.kinase_cascade,16384,101,11.514608144760132,cl,15.863001346588135
8,ip-172-31-22-73,100,TeslaV100-SXM2-16GB,pysb.examples.kinase_cascade,32768,101,22.847434997558594,cl,31.485386848449707
9,ip-172-31-22-73,100,TeslaV100-SXM2-16GB,pysb.examples.kinase_cascade,65536,101,45.76734733581543,cl,62.84441804885864
