,device_name,end_time,gpu_name,model_name,n_sim,n_ts,sim_time,simulator,total_time
0,ip-172-31-22-73,100,TeslaV100-SXM2-16GB,pysb.examples.schlogl,128,101,0.07142114639282227,cl,0.3425014019012451
1,ip-172-31-22-73,100,TeslaV100-SXM2-16GB,pysb.examples.schlogl,256,101,0.0733022689819336,cl,0.18009710311889648
2,ip-172-31-22-73,100,TeslaV100-SXM2-16GB,pysb.examples.schlogl,512,101,0.27060794830322266,cl,0.3969898223876953
3,ip-172-31-22-73,100,TeslaV100-SXM2-16GB,pysb.examples.schlogl,1024,101,0.33477330207824707,cl,0.5367436408996582
4,ip-172-31-22-73,100,TeslaV100-SXM2-16GB,pysb.examples.schlogl,2048,101,0.5044112205505371,cl,0.7731297016143799
5,ip-172-31-22-73,100,TeslaV100-SXM2-16GB,pysb.examples.schlogl,4096,101,0.581423282623291,cl,1.03767728805542
6,ip-172-31-22-73,100,TeslaV100-SXM2-16GB,pysb.examples.schlogl,8192,101,0.5552678108215332,cl,1.3990273475646973
7,ip-172-31-22-73,100,TeslaV100-SXM2-16GB,pysb.examples.schlogl,16384,101,0.5638527870178223,cl,2.179837226867676
8,ip-172-31-22-73,100,TeslaV100-SXM2-16GB,pysb.examples.schlogl,32768,101,0.6288392543792725,cl,3.84346342086792
9,ip-172-31-22-73,100,TeslaV100-SXM2-16GB,pysb.examples.schlogl,65536,101,0.7621209621429443,cl,7.107670307159424
