,device_name,end_time,gpu_name,model_name,n_sim,n_ts,sim_time,simulator,total_time
0,puma,100,TeslaK20c,pysb.examples.michment,128,101,0.00897526741027832,cl,0.400972843170166
1,puma,100,TeslaK20c,pysb.examples.michment,256,101,0.009069681167602539,cl,0.44268369674682617
2,puma,100,TeslaK20c,pysb.examples.michment,512,101,0.00897979736328125,cl,0.4613046646118164
3,puma,100,TeslaK20c,pysb.examples.michment,1024,101,0.009329557418823242,cl,0.5937869548797607
4,puma,100,TeslaK20c,pysb.examples.michment,2048,101,0.009003162384033203,cl,0.8404510021209717
5,puma,100,TeslaK20c,pysb.examples.michment,4096,101,0.009147167205810547,cl,1.245568037033081
6,puma,100,TeslaK20c,pysb.examples.michment,8192,101,0.010165691375732422,cl,2.17909574508667
7,puma,100,TeslaK20c,pysb.examples.michment,16384,101,0.015552759170532227,cl,3.8011248111724854
8,puma,100,TeslaK20c,pysb.examples.michment,32768,101,0.030161619186401367,cl,7.690538167953491
9,puma,100,TeslaK20c,pysb.examples.michment,65536,101,0.059801340103149414,cl,13.624837160110474
