,device_name,end_time,gpu_name,model_name,n_sim,n_ts,sim_time,simulator,total_time
0,puma,20000,TeslaK20c,pysb.examples.earm_1_0,128,101,1548.857450246811,gpu_ssa,1551.0787873268127
1,puma,20000,TeslaK20c,pysb.examples.earm_1_0,256,101,1284.5050230026245,gpu_ssa,1284.9480216503143
2,puma,20000,TeslaK20c,pysb.examples.earm_1_0,512,101,1520.0071079730988,gpu_ssa,1520.7106041908264
3,puma,20000,TeslaK20c,pysb.examples.earm_1_0,1024,101,1545.0348868370056,gpu_ssa,1546.1466829776764
4,puma,20000,TeslaK20c,pysb.examples.earm_1_0,2048,101,1797.2481966018677,gpu_ssa,1799.2541642189026
5,puma,20000,TeslaK20c,pysb.examples.earm_1_0,4096,101,3424.0129837989807,gpu_ssa,3428.081704378128
6,puma,20000,TeslaK20c,pysb.examples.earm_1_0,8192,101,5478.7994294166565,gpu_ssa,5486.820854663849
7,puma,20000,TeslaK20c,pysb.examples.earm_1_0,16384,101,9791.1139793396,gpu_ssa,9806.178806781769
8,puma,20000,TeslaK20c,pysb.examples.earm_1_0,32768,101,19553.503962039948,gpu_ssa,19585.00226163864
9,puma,20000,TeslaK20c,pysb.examples.earm_1_0,65536,101,38783.0026307106,gpu_ssa,38849.553585767746
