,model_name,device_name,n_ts,end_time,n_sim,simulator,gpu_name,total_time,sim_time,opencl_args
0,pysb.examples.kinase_cascade,rage,101,50,128,cl_nvidia,TeslaV100-SXM2-32GB,2.561152935028076,2.358243703842163,"0:0,1"
1,pysb.examples.kinase_cascade,rage,101,50,256,cl_nvidia,TeslaV100-SXM2-32GB,2.581571578979492,2.3719191551208496,"0:0,1"
2,pysb.examples.kinase_cascade,rage,101,50,512,cl_nvidia,TeslaV100-SXM2-32GB,2.6066880226135254,2.371685743331909,"0:0,1"
3,pysb.examples.kinase_cascade,rage,101,50,1024,cl_nvidia,TeslaV100-SXM2-32GB,2.665095567703247,2.3832380771636963,"0:0,1"
4,pysb.examples.kinase_cascade,rage,101,50,2048,cl_nvidia,TeslaV100-SXM2-32GB,2.76901912689209,2.3977198600769043,"0:0,1"
5,pysb.examples.kinase_cascade,rage,101,50,4096,cl_nvidia,TeslaV100-SXM2-32GB,2.9865105152130127,2.4301869869232178,"0:0,1"
6,pysb.examples.kinase_cascade,rage,101,50,8192,cl_nvidia,TeslaV100-SXM2-32GB,3.408933401107788,2.490379810333252,"0:0,1"
7,pysb.examples.kinase_cascade,rage,101,50,16384,cl_nvidia,TeslaV100-SXM2-32GB,4.316533803939819,2.6143012046813965,"0:0,1"
8,pysb.examples.kinase_cascade,rage,101,50,32768,cl_nvidia,TeslaV100-SXM2-32GB,6.482090711593628,3.287461996078491,"0:0,1"
9,pysb.examples.kinase_cascade,rage,101,50,65536,cl_nvidia,TeslaV100-SXM2-32GB,12.870654821395874,6.675375461578369,"0:0,1"
