,model_name,device_name,n_ts,end_time,n_sim,simulator,gpu_name,total_time,sim_time,opencl_args
0,pysb.examples.kinase_cascade,rage,101,50,128,cl_nvidia,TeslaV100-SXM2-32GB,2.5602033138275146,2.406780958175659,0:0
1,pysb.examples.kinase_cascade,rage,101,50,256,cl_nvidia,TeslaV100-SXM2-32GB,2.497642993927002,2.3661651611328125,0:0
2,pysb.examples.kinase_cascade,rage,101,50,512,cl_nvidia,TeslaV100-SXM2-32GB,2.522972345352173,2.3692853450775146,0:0
3,pysb.examples.kinase_cascade,rage,101,50,1024,cl_nvidia,TeslaV100-SXM2-32GB,2.577821731567383,2.375680923461914,0:0
4,pysb.examples.kinase_cascade,rage,101,50,2048,cl_nvidia,TeslaV100-SXM2-32GB,2.7558517456054688,2.3857944011688232,0:0
5,pysb.examples.kinase_cascade,rage,101,50,4096,cl_nvidia,TeslaV100-SXM2-32GB,2.8887712955474854,2.4141316413879395,0:0
6,pysb.examples.kinase_cascade,rage,101,50,8192,cl_nvidia,TeslaV100-SXM2-32GB,3.308516025543213,2.465820789337158,0:0
7,pysb.examples.kinase_cascade,rage,101,50,16384,cl_nvidia,TeslaV100-SXM2-32GB,4.610598564147949,2.988311290740967,0:0
8,pysb.examples.kinase_cascade,rage,101,50,32768,cl_nvidia,TeslaV100-SXM2-32GB,9.118375301361084,6.033975601196289,0:0
9,pysb.examples.kinase_cascade,rage,101,50,65536,cl_nvidia,TeslaV100-SXM2-32GB,17.597240209579468,11.485448598861694,0:0
